Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Pumalan\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Pumalan\obj,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Pumalan\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Pumalan\obj\Release,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.RFID,6,333,248,134,11,46,10,39,200,0,1
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.RFID\Properties,2,64,28,9,1,11,1,25,150,0,1
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.RFID\obj,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.RFID\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.RFID\obj\Release,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Reports,80,27464,21863,18123,443,891,9,4710,3780,0,3
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Reports\BalanceReports,11,6405,5371,3549,367,512,1,522,495,0,1
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Reports\Invoices,14,6204,4951,4444,12,49,2,1204,758,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Reports\Properties,3,160,87,36,7,23,2,50,282,0,2
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Reports\obj,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Reports\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Reports\obj\Release,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Schwelm,3,915,721,437,122,102,15,92,450,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Schwelm\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Schwelm\obj,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Schwelm\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Schwelm\obj\Release,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.StartItaliana,4,618,476,280,52,84,0,58,238,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.StartItalianaL,4,656,472,277,48,90,0,94,366,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.StartItalianaLOng,4,637,456,269,48,87,0,94,366,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.StartItalianaLOng\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.StartItalianaL\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.StartItalianaL\obj,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.StartItalianaL\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.StartItalianaL\obj\Release,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.StartItalianaXMT,4,617,478,279,52,83,0,56,232,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.StartItalianaXMT\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.StartItalianaXMT\obj,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.StartItalianaXMT\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
