File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Reports\InvoiceThermal.cs,127,108,68,23,10,0,9,23,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Reports\InvoiceThermal.Designer.cs,756,599,544,0,3,0,154,76,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Reports\InvoiceTraderReport.cs,39,26,20,0,4,0,9,23,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Reports\InvoiceTraderReport.Designer.cs,967,762,687,0,3,0,202,92,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Reports\LiterCheckReport.cs,27,16,10,0,2,0,9,23,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Reports\LiterCheckReport.Designer.cs,634,504,458,0,3,0,127,67,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Reports\NozzleTotalsReport.cs,27,17,11,0,1,0,9,23,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Reports\NozzleTotalsReport.Designer.cs,414,320,287,0,3,0,91,55,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Reports\ReportHeader.cs,27,16,10,0,2,0,9,23,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Reports\ReportHeader.Designer.cs,323,247,216,0,3,0,73,49,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Reports\ReportViewer.cs,21,19,13,0,2,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Reports\ReportViewer.Designer.cs,69,42,30,1,7,0,20,57,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Reports\ReportViewerForm.cs,584,449,334,13,129,2,6,26,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Reports\ReportViewerForm.Designer.cs,106,79,64,1,7,0,20,56,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Reports\SaleReport.cs,27,17,11,0,1,0,9,23,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Reports\SaleReport.Designer.cs,552,429,389,0,2,0,121,65,0,0
