Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.NuovoPignone\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.PTS,2,733,585,354,121,95,2,53,270,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.PTS\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Reports,56,18053,14368,11503,402,642,3,3043,2551,0,3
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Reports\BalanceReports,11,6361,5332,3530,364,507,1,522,495,0,1
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Reports\Invoices,4,1415,1079,957,0,10,0,326,198,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Reports\Properties,3,160,87,36,7,23,2,50,282,0,2
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.StartItaliana,4,435,354,214,38,61,0,20,129,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.StartItaliana\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Tank,2,649,533,345,101,88,0,28,167,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Tank\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.VirtualDevices,9,906,726,435,64,105,1,75,395,0,1
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.VirtualDevices\Properties,2,173,88,44,11,22,1,63,361,0,1
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Windows,122,31898,24829,17881,1213,2366,28,4703,11506,0,3
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Windows\DBScripts,8,2212,2042,0,0,59,0,111,999,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Windows\Properties,3,1099,592,355,96,112,2,395,1785,0,2
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Windows\Service References,1,1338,1114,573,139,216,1,8,30,0,1
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Windows\Service References\SmsService,1,1338,1114,573,139,216,1,8,30,0,1
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Windows\Threads,9,5197,3890,2556,485,651,13,656,2894,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Windows\UI,97,20723,16095,13599,407,1233,11,3395,5534,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Windows\UI\Catalogs,10,2644,2140,1809,61,189,2,315,386,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Windows\UI\Controls,25,3445,2701,2072,112,306,5,438,820,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Windows\UI\Forms,20,3684,2912,2504,58,186,2,586,769,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Windows\UI\SelectionForms,24,4323,3394,2864,83,237,0,692,867,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Windows\UI\SettingForms,18,6627,4948,4350,93,315,2,1364,2692,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.WorkFlow,7,479,365,221,38,80,0,34,190,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.WorkFlow\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Evaluant.Calculator,21,7844,5981,3881,616,1352,86,511,3370,2,18
D:\dev\Exedron\ASFuelControl.Windows\Code\Evaluant.Calculator\Domain,10,1390,1014,551,177,346,1,30,237,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Evaluant.Calculator\Properties,1,36,15,3,0,5,0,16,118,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\PtsLib,19,5024,2995,1719,388,593,52,1436,7649,0,2
D:\dev\Exedron\ASFuelControl.Windows\Code\PtsLib\Properties,3,130,63,27,4,20,2,47,251,0,2
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal,314,91631,73513,49218,5650,7630,208,10488,26910,0,12
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.AK6,4,751,465,290,48,101,10,185,741,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.AK6\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Ametek,4,443,357,216,38,62,0,24,143,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Ametek\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Box69,7,2387,1882,1204,315,286,11,219,823,0,1
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Box69\Properties,2,73,36,12,2,12,1,25,150,0,1
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Common,26,2016,1610,951,206,239,2,167,750,0,1
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Common\Enumerators,9,272,244,94,9,28,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Common\Properties,2,299,158,86,25,36,1,105,567,0,1
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Common\Sales,4,225,201,136,15,24,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Communication,18,4713,3773,2368,347,635,5,305,1001,0,2
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Communication\Enums,5,130,118,50,7,12,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Communication\Properties,2,299,158,86,25,36,1,105,583,0,1
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Communication\Service References,1,2929,2285,1354,203,445,1,199,412,0,1
