File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SelectionForms\SelectPrinterForm.cs,52,45,30,2,7,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SelectionForms\SelectPrinterForm.Designer.cs,103,71,57,1,6,0,26,58,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SelectionForms\SelectShift.cs,63,52,38,2,11,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SelectionForms\SelectShift.Designer.cs,224,171,157,1,6,0,47,65,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SelectionForms\SelectTankActionForm.cs,35,30,20,0,5,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SelectionForms\SelectTankActionForm.Designer.cs,157,113,101,1,6,0,38,62,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SelectionForms\SelectTraderForm.cs,287,238,160,33,42,0,7,27,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SelectionForms\SelectTraderForm.Designer.cs,1004,795,776,1,6,0,203,113,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SettingForms\ChangeLogForm.cs,110,93,71,4,17,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SettingForms\ChangeLogForm.Designer.cs,296,234,215,1,6,0,56,68,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SettingForms\CommunicationSettingsForm.cs,85,71,55,0,14,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SettingForms\CommunicationSettingsForm.Designer.cs,465,361,346,1,6,0,98,82,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SettingForms\ControllerSettings.cs,144,127,89,11,17,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SettingForms\ControllerSettings.Designer.cs,440,333,316,1,6,0,101,80,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SettingForms\FleetManagmentForm.cs,139,112,86,5,24,0,3,9,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SettingForms\FleetManagmentForm.Designer.cs,627,514,482,1,6,0,107,83,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SettingForms\FuelPumpSettings.cs,430,370,257,39,53,0,7,21,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SettingForms\FuelPumpSettings.Designer.cs,1644,1282,1171,1,6,0,356,146,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SettingForms\InvoiceTypesForm.cs,116,102,64,10,14,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SettingForms\InvoiceTypesForm.Designer.cs,272,228,196,1,6,0,38,62,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SettingForms\MainSettingsForm.cs,787,293,216,21,131,2,363,1938,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SettingForms\MainSettingsForm.Designer.cs,1243,992,962,1,6,0,245,131,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SettingForms\OPTSettings.cs,362,318,225,32,42,0,2,4,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SettingForms\OPTSettings.Designer.cs,1147,914,890,1,6,0,227,125,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SettingForms\PriceSettingsForm.cs,70,62,40,5,8,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SettingForms\PriceSettingsForm.Designer.cs,100,68,56,1,6,0,26,58,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SettingForms\PrinterSettings.cs,203,170,125,7,33,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SettingForms\PrinterSettings.Designer.cs,579,451,439,1,6,0,122,90,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SettingForms\SaleTransactionsForm.cs,141,127,76,9,14,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SettingForms\SaleTransactionsForm.Designer.cs,395,339,306,1,6,0,50,66,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SettingForms\SerialNumbersForm.cs,110,99,59,9,11,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SettingForms\SerialNumbersForm.Designer.cs,178,134,118,1,6,0,38,62,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SettingForms\TankLevelHistory.cs,149,136,85,14,13,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SettingForms\TankLevelHistory.Designer.cs,245,189,173,1,6,0,50,66,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SettingForms\TankSettings.cs,436,379,259,43,51,2,6,57,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SettingForms\TankSettings.Designer.cs,1528,1226,1136,1,6,0,296,145,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SettingForms\UserSettingsForm.cs,128,111,72,10,17,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\SettingForms\UserSettingsForm.Designer.cs,296,225,211,1,6,0,65,71,0,0
